OPERAÇÃO ARTISTAS - MÍDIA KIT,,,,,,,,,,,,,,,,,,,,,,,,
Nome,Categoria,Gravadora ,Spotify,,,,,,,,,,,Youtube,,,,,,Youtube + Spotify,Instagram,,MÉDIA NO SPOTIFY,MÉDIA NO YOUTUBE
,,,,,,Charts,,,,Streams ,,,,,,,,,,,,,,
,,,Qtd de músicas,Ouvintes Mensais,Seguidores ,Músicas no TOP200 BR,Playlists Regionais,Streams Rap (posição),Ouvintes Rap (posição),Total Streams,Últimos 30 dias ,Média Diária ,Top 5 musicas ,Inscritos,Youtube Views,Youtube Feats,Youtube Music,Youtube Total,Top 5,Total Plays,,Seguidores,,
Mainstreet,Gravadora ,Mainstreet ,163,,,"Rolé na Favela de Nave, Mesma História, 10 Carros, Vida Rasa",Viral Rio de Janeiro BR - Viral São Paulo BR - Viral Vitória BR,6,16,,,,Vida Louca - Sereia - 212 - Saturno - Marília Mendonça,4.070.000,,,,0,A Cara do Crime (Nós Incomoda) - 212 - Saturno - Vida Louca - Deus É o Meu Guia,0,,1.148.908,,
Orochi,Aritsta ,Mainstreet ,131,,,"Mesma História, Vida Rasa",Viral Rio de Janeiro BR - Viral Vitória BR,4,22,,,,Poesia Acústica #6: Era uma Vez - Amor de Fim de Noite - Sereia - Meu Mundo - Poesia Acústica 10: Recomeçar,3.740.000,,,,0,Poesia Acústica #6: Era uma Vez - Mitsubishi - Amor de Fim de Noite - Acende o Isqueiro - Celebridade,0,,8.329.283,16.685.151,20.513.445
Poze,Aritsta ,Mainstreet ,48,,,Diz Aí Qual é o Plano?,Viral Rio de Janeiro BR,13,25,,,,Vida Louca - A Cara do Crime (Nós Incomoda) - Me Sinto Abençoado - Poesia Acústica 11: Nada Mudou - ESSÊNCIA DE CRIA,4.190.000,,,,0,A Cara do Crime (Nós Incomoda) - Vida Louca - Me Sinto Abençoado - Poesia Acústica 11: Nada Mudou - ESSÊNCIA DE CRIA,0,,14.967.289,23.143.427,33.869.569
Bin,Aritsta ,Mainstreet ,71,,,,Viral Vitória BR,17,43,,,,Saturno - Marília Mendonça - Poesia Acústica 12 - Apê 1001 - Quase uma Semana,1.860.000,,,,0,Saturno - Pedaço de Mim - Marília Mendonça - Apê 1001 - Poesia Acústica 12 - Pra Sempre,0,,2.240.813,12.837.593,9.855.246
Borges,Aritsta ,Mainstreet ,74,,,"Tenho Que Me Decidir, Loucura",Viral Rio de Janeiro BR - Viral Vitória BR,18,28,,,,Poesia Acústica 12 - Tenho Que Me Decidir - Loucura - Quase uma Semana - Iphone Branco,1.040.000,,,,0,Poesia Acústica 12 - Pra Sempre - Iphone Branco - Met Gala! - Mirante - Loucura,0,,3.442.149,10.850.550,10.762.335
Chefin,Aritsta ,Mainstreet ,48,,,"Melhor Vibe, 10 Carros",Viral Rio de Janeiro BR - Viral Belo Horizonte BR - Viral Vitória BR - Viral Rio Grande do Sul BR - Viral Florianópolis BR - Viral Manaus BR,20,20,,,,212 - Poesia Acústica 13 - 10 Carros - Tropa do Mais Novo - Assault (Carro Forte),334.000,,,,0,212 - Deus É o Meu Guia - Tropa do Mais Novo - 10 Carros - Assault (Carro Forte),0,,6.769.572,16.587.942,19.747.739
Oruam,Aritsta ,Mainstreet ,37,,,"Diz Aí Qual é o Plano?, Rolé na Favela de Nave",Viral Rio de Janeiro BR - Viral São Paulo BR - Viral Vitória BR - Viral Rio Grande do Sul BR,16,11,,,,Sereia - Poesia Acústica 13 - Horas Iguais - Diz Aí Qual é o Plano? - Rolé na Favela de Nave,,,,,0,Horas Iguais - Papo de Agustinho - Predestinado - Sereia - Assault (Carro Forte),0,,8.461.193,24.476.402,38.034.253
Bielzin,Aritsta ,Mainstreet ,36,,,,Viral São Paulo BR,39,73,,,,A Cara do Crime (Nós Incomoda) - ESSÊNCIA DE CRIA - A Cara do Crime 3 (Brinde à Liberdade) - A Cara do Crime 2 (Cansou de Playboy) - Assault (Carro Forte),,,,,0,A Cara do Crime (Nós Incomoda) - ESSÊNCIA DE CRIA - A Cara do Crime 2 (Cansou de Playboy) - A Cara do Crime 3 (Brinde à Liberdade) - A Cara do Crime 4 (Acendo a Flor),0,,853.218,,
