OPERAÇÃO ARTISTAS - MÍDIA KIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nome,Categoria,Gravadora,Spotify,,,,,,,,,,,,,,Youtube,,,,,,Youtube + Spotify,Outras plataformas,,INSTAGRAM,,MÉDIA NO SPOTIFY,MÉDIA NO YOUTUBE
,,,,,,Charts,,,,Streams,,,,Região,,,,,,,,,,,,,,,
,,,Qtd de músicas,Ouvintes Mensais,Seguidores,Músicas no TOP200 BR,Playlists Regionais,Streams Rap,Ouvintes Rap,Total Streams,Últimos 30 dias,Média Diária,Top 5 musicas,Ouvintes,,,Inscritos,Youtube Views,Youtube Feats,Top 5,,,Total Plays,,Seguidores,Impressão,Engajamento,,
Mainstreet,Gravadora,Mainstreet,x,"9,100,331",,,,,,x,,,,,,,x,x,,,,,,,,,,,
Orochi,Aritsta,Mainstreet,116,"8,175,763 ",4.570.955,,,,,1.935.477.461,,,,,,,3.630.000,2.379.559.621,763.159.149,,,,4.315.037.082,,,,,16.685.151,20.513.445
Mc Poze do Rodo,Aritsta,Mainstreet,46,"6,168,139 ",5.484.077,,,,,1.064.597.647,,,,,,,4.090.000,1.558.000.194,586.073.152,,,,2.622.597.841,,,,,23.143.427,33.869.569
BIN,Aritsta,Mainstreet,68,"4,230,596 ",1.920.582,,,,,872.956.303,,,,,,,1.840.000,670.156.742,284.816.055,,,,1.543.113.045,,,,,12.837.593,9.855.246
Borges,Aritsta,Mainstreet,67,"8,430,636 ",1.113.808,,,,,726.986.821,,,,,,,1.000.000,721.076.472,408.051.211,,,,1.448.063.293,,,,,10.850.550,10.762.335
Chefin,Aritsta,Mainstreet,39,"7,223,099 ",2.286.370,,,,,646.929.719,,,,,,,162,770.161.839,196.631.421,,,,1.417.091.558,,,,,16.587.942,19.747.739
Oruam,Aritsta,Mainstreet,28,"11,784,880 ",2.648.747,,,,,685.339.251,,,,,,,N/A,1.064.959.095,684.727.765,,,,1.750.298.346,,,,,24.476.402,38.034.253
Bielzin,Aritsta,Mainstreet,,"2,554,801 ",,,,,,,,,,,,,,,,,,,,,,,,,
Dfideliz,Aritsta,Mainstreet,,"2,122,447 ",,,,,,,,,,,,,,,,,,,,,,,,,
PL Quest,Aritsta,Mainstreet,,"1,734,842 ",,,,,,,,,,,,,,,,,,,,,,,,,
Raffé,Aritsta,Mainstreet,,"1,327,786 ",,,,,,,,,,,,,,,,,,,,,,,,,
Azevedo,Aritsta,Mainstreet,,"2,099,581 ",,,,,,,,,,,,,,,,,,,,,,,,,
Leviano,Aritsta,Mainstreet,,"1,641,752 ",,,,,,,,,,,,,,,,,,,,,,,,,
Ajaxx,Produtor,Mainstreet,,"6,401,421 ",,,,,,,,,,,,,,,,,,,,,,,,,
Kizzy,Produtor,Mainstreet,,"4,704,787 ",,,,,,,,,,,,,,,,,,,,,,,,,
jess beats,Produtor,Mainstreet,,"1,807,986 ",,,,,,,,,,,,,,,,,,,,,,,,,
RUXN,Produtor,Mainstreet,,"4,260,465 ",,,,,,,,,,,,,,,,,,,,,,,,,
MC Cabelinho,Aritsta,Bairro 13,,"10,316,029 ",,,,,,,,,,,,,,,,,,,,,,,,,
Brutos,Aritsta,Bairro 13,,"600,947",,,,,,,,,,,,,,,,,,,,,,,,,
A.R,Aritsta,Bairro 13,,"600,375",,,,,,,,,,,,,,,,,,,,,,,,,
Vinicin,Aritsta,Bairro 13,,"606,973",,,,,,,,,,,,,,,,,,,,,,,,,
MANO R7,Aritsta,Bairro 13,,"30,838",,,,,,,,,,,,,,,,,,,,,,,,,
Amorim,Aritsta,Bairro 13,,"600,375",,,,,,,,,,,,,,,,,,,,,,,,,
Buddy,Aritsta,A Matilha,,"192,745",,,,,,,,,,,,,,,,,,,,,,,,,
Mvk,Aritsta,A Matilha,,"276,599",,,,,,,,,,,,,,,,,,,,,,,,,
Pedrin,Aritsta,A Matilha,,"168,862",,,,,,,,,,,,,,,,,,,,,,,,,
Mc Filhão,Aritsta,A Matilha,,"57,932",,,,,,,,,,,,,,,,,,,,,,,,,
Shenlong,Aritsta,A Matilha,,"757,503",,,,,,,,,,,,,,,,,,,,,,,,,
DEGE,Aritsta,A Matilha,,"132,231",,,,,,,,,,,,,,,,,,,,,,,,,
Hashi,Aritsta,A Matilha,,"28,896",,,,,,,,,,,,,,,,,,,,,,,,,
Beny Free,Aritsta,A Matilha,,"22,482",,,,,,,,,,,,,,,,,,,,,,,,,
Feek,Aritsta,A Matilha,,"294,851",,,,,,,,,,,,,,,,,,,,,,,,,
Oliveira,Aritsta,A Matilha,,"56,435",,,,,,,,,,,,,,,,,,,,,,,,,
Pior Versão de Mim,Aritsta,A Matilha,,"126,283",,,,,,,,,,,,,,,,,,,,,,,,,
Oreozin,Aritsta,A Matilha,,"362,332",,,,,,,,,,,,,,,,,,,,,,,,,
Peziinho,Aritsta,A Matilha,,"65,09",,,,,,,,,,,,,,,,,,,,,,,,,
Grone,Aritsta,A Matilha,,"66,457",,,,,,,,,,,,,,,,,,,,,,,,,
Vt no beat,Produtor,A Matilha,,"211,096",,,,,,,,,,,,,,,,,,,,,,,,,
