OPERAÇÃO ARTISTAS - MÍDIA KIT,,,,,,,,,,,,,,,,,,,,,,,,
Nome,Categoria,Gravadora ,Spotify,,,,,,,,,,,Youtube,,,,,,Youtube + Spotify,Instagram,,MÉDIA NO SPOTIFY,MÉDIA NO YOUTUBE
,,,,,,Charts,,,,Streams ,,,,,,,,,,,,,,
,,,Qtd de músicas,Ouvintes Mensais,Seguidores ,Músicas no TOP200 BR,Playlists Regionais,Streams Rap (posição),Ouvintes Rap (posição),Total Streams,Últimos 30 dias ,Média Diária ,Top 5 musicas ,Inscritos,Youtube Views,Youtube Feats,Youtube Music,Youtube Total,Top 5,Total Plays,,Seguidores,,
Mainstreet,Gravadora ,Mainstreet ,59,7.989.401,800951,CONFISSÕES PT1,Viral Rio de Janeiro BR,7,67,2839088679,,,INEFÁVEL (feat. Leviano) - Jordan - Sem Compaixão - Sem Compaixão - Me Sinto Oruam,184.000,2397196306,0,895035729,2.296.446.555,Sem Compaixão - Jordan - Matéria - Papo Reto - Vetin,5.854.261.493,,1148908,,
Orochi,Aritsta ,Mainstreet ,163,"10,381,782 ",5918156,"Rolé na Favela de Nave, Mesma História, 10 Carros",Viral Rio de Janeiro BR - Viral São Paulo BR - Viral Vitória BR,6,16,3112464319,,,Vida Louca - Sereia - 212 - Saturno - Marília Mendonça,4.070.000,1965173904,2001714867,672180297,3.828.819.982,A Cara do Crime (Nós Incomoda) - 212 - Saturno - Vida Louca - Deus É o Meu Guia,7.417.319.311,,8329283,,
Poze,Aritsta ,Mainstreet ,131,7.241.395,5.347.630,Mesma História,Viral Rio de Janeiro BR - Viral Vitória BR,23,22,1.725.916.541,,,Poesia Acústica #6: Era uma Vez - Amor de Fim de Noite - Sereia - Meu Mundo - Poesia Acústica 10: Recomeçar,3.740.000,1.111.910.666,1.355.290.412,495.771.361,2.467.201.078,Poesia Acústica #6: Era uma Vez - Mitsubishi - Amor de Fim de Noite - Acende o Isqueiro - Celebridade,4.688.888.980,,14967289,16.685.151,20.513.445
Bin,Aritsta ,Mainstreet ,48,3.917.724,6.168.105,Diz Aí Qual é o Plano?,Viral Rio de Janeiro BR,35,25,1.222.336.444,,,Vida Louca - A Cara do Crime (Nós Incomoda) - Me Sinto Abençoado - Poesia Acústica 11: Nada Mudou - ESSÊNCIA DE CRIA,4.190.000,505.347.790,351.124.592,253.134.891,856.472.382,A Cara do Crime (Nós Incomoda) - Vida Louca - Me Sinto Abençoado - Poesia Acústica 11: Nada Mudou - ESSÊNCIA DE CRIA,2.331.943.717,,2240813,23.143.427,33.869.569
Borges,Aritsta ,Mainstreet ,71,"6,081,543 ",1456645,,Viral Vitória BR,30,43,1292930366,,,Saturno - Marília Mendonça - Poesia Acústica 12 - Apê 1001 - Quase uma Semana,1.860.000,273855866,615304133,187237725,857.075.450,Saturno - Pedaço de Mim - Marília Mendonça - Apê 1001 - Poesia Acústica 12 - Pra Sempre,2.250.087.515,,3442149,12.837.593,9.855.246
Chefin,Aritsta ,Mainstreet ,74,"5,984,412 ",3213723,"Tenho Que Me Decidir, Loucura",Viral Rio de Janeiro BR - Viral Vitória BR,67,28,1213956468,,,Poesia Acústica 12 - Tenho Que Me Decidir - Loucura - Quase uma Semana - Iphone Branco,1.040.000,15620516,1270882080,278206219,1.202.181.283,Poesia Acústica 12 - Pra Sempre - Iphone Branco - Met Gala! - Mirante - Loucura,2.597.013.258,,6769572,10.850.550,10.762.335
Oruam,Aritsta ,Mainstreet ,48,"7,635,796 ",3650404,"Melhor Vibe, 10 Carros",Viral Rio de Janeiro BR - Viral Belo Horizonte BR - Viral Vitória BR - Viral Rio Grande do Sul BR - Viral Florianópolis BR - Viral Manaus BR,43,20,1437761796,,,212 - Poesia Acústica 13 - 10 Carros - Tropa do Mais Novo - Assault (Carro Forte),334.000,0,1812652740,295411865,1.704.415.973,212 - Deus É o Meu Guia - Tropa do Mais Novo - 10 Carros - Assault (Carro Forte),3.300.854.519,,8461193,16.587.942,19.747.739
Bielzin,Aritsta ,Mainstreet ,37,"2,237,708 ",490375,"Diz Aí Qual é o Plano?, Rolé na Favela de Nave",Viral Rio de Janeiro BR - Viral São Paulo BR - Viral Vitória BR - Viral Rio Grande do Sul BR,76,11,627156007,,,Sereia - Poesia Acústica 13 - Horas Iguais - Diz Aí Qual é o Plano? - Rolé na Favela de Nave,,0,806040598,238973344,778.768.434,Horas Iguais - Papo de Agustinho - Predestinado - Sereia - Assault (Carro Forte),1.620.096.139,,853218,24.476.402,38.034.253
