Nome,,Ouvintes Mensais
Mainstreet,,"7,619,221 "
Orochi,,"10,381,782 "
Mc Poze do Rodo,,"6,514,470 "
BIN,,"4,098,685 "
Borges,,"6,081,543 "
Chefin,,"5,984,412 "
Oruam,,"7,635,796 "
Bielzin,,"2,237,708 "
Dfideliz,,"2,775,775 "
PL Quest,,"1,355,181 "
Raffé,,"1,011,862 "
Azevedo,,"1,638,698 "
Leviano,,"2,640,313 "
Ajaxx,,"4,924,914 "
Kizzy,,"3,668,568 "
jess beats,,"1,872,221 "
RUXN,,"2,312,337 "
MC Cabelinho,,"9,369,664 "
Brutos,,"302,726 "
A.R,,"298,484 "
Vinicin,,"461,024 "
MANO R7,,"26,771 "
Amorim,,"298,484 "
Buddy,,"186,875 "
Mvk,,"717,945 "
Pedrin,,"160,251 "
Mc Filhão,,"464,006 "
Shenlong,,"707,096 "
DEGE,,"96,095 "
Hashi,,"33,365 "
Beny Free,,"25,027 "
Feek,,"203,056 "
Oliveira,,"41,270 "
Pior Versão de Mim,,"99,197 "
Oreozin,,"72,453 "
Peziinho,,"37,255 "
Grone,,"41,368 "
Vt no beat,,"166,836 "
