Artist,Total Play Count
Mainstreet,1356955895
Orochi,2578154307
Mc Poze do Rodo,1461421638
BIN,1101434305
Borges,843441748
Chefin,952090774
Oruam,945171923
Bielzin,529274966
Dfideliz,646310574
PL Quest,322460483
Raffé,148245470
Azevedo,140887211
Leviano,187681465
Ajaxx,746948842
Kizzy,546663090
jess beats,181824970
RUXN,126490975
MC Cabelinho,2608601507
Brutos,45306335
A.R,45086308
Vinicin,45785984
MANO R7,1446548
Amorim,45086308
Buddy,84649667
Mvk,26588417
Pedrin,32162846
Mc Filhão,3635796
Shenlong,51766069
DEGE,17316406
Hashi,1925303
Beny Free,4842358
Feek,17720905
Oliveira,5143240
Pior Versão de Mim,16977766
Oreozin,5082768
Peziinho,2929273
Grone,2885597
Vt no beat,13024758
