OPERAÇÃO ARTISTAS - MÍDIA KIT,,,,,,,,,,,,,,,,,,,,,,,,
Nome,Categoria,Gravadora ,Spotify,,,,,,,,,,,Youtube,,,,,,Youtube + Spotify,Instagram,,MÉDIA NO SPOTIFY,MÉDIA NO YOUTUBE
,,,,,,Charts,,,,Streams ,,,,,,,,,,,,,,
,,,Qtd de músicas,Ouvintes Mensais,Seguidores ,Músicas no TOP200 BR,Playlists Regionais,Streams Rap (posição),Ouvintes Rap (posição),Total Streams,Últimos 30 dias ,Média Diária ,Top 5 musicas ,Inscritos,Youtube Views,Youtube Feats,Youtube Music,Youtube Total,Top 5,Total Plays,,Seguidores,,
Mainstreet,Gravadora ,Mainstreet ,163,"9,100,331",712.862,,,,,2.622.942.231,,,Vida Louca - Sereia - 212 - Saturno - Marília Mendonça,4.070.000,2.254.043.550,0,857.892.702,2.254.043.550,A Cara do Crime (Nós Incomoda) - 212 - Saturno - Vida Louca - Deus É o Meu Guia,4.876.985.781,,1.148.908,,
Orochi,Aritsta ,Mainstreet ,131,"7,849,729 ",5.209.664,,,,,2.874.055.303,,,Poesia Acústica #6: Era uma Vez - Amor de Fim de Noite - Sereia - Meu Mundo - Poesia Acústica 10: Recomeçar,3.740.000,1.834.975.967,1.943.684.620,635.578.267,3.778.660.587,Poesia Acústica #6: Era uma Vez - Mitsubishi - Amor de Fim de Noite - Acende o Isqueiro - Celebridade,8.596.400.510,,8.329.283,16.685.151,20.513.445
Poze,Aritsta ,Mainstreet ,48,"7,661,556 ",6.087.388,,,,,1.690.699.537,,,Vida Louca - A Cara do Crime (Nós Incomoda) - Me Sinto Abençoado - Poesia Acústica 11: Nada Mudou - ESSÊNCIA DE CRIA,4.190.000,1.101.337.007,1.332.484.591,490.046.893,2.433.821.598,A Cara do Crime (Nós Incomoda) - Vida Louca - Me Sinto Abençoado - Poesia Acústica 11: Nada Mudou - ESSÊNCIA DE CRIA,5.457.005.726,,14.967.289,23.143.427,33.869.569
Bin,Aritsta ,Mainstreet ,71,"4,181,408 ",954.088,,,,,1.205.317.339,,,Saturno - Marília Mendonça - Poesia Acústica 12 - Apê 1001 - Quase uma Semana,1.860.000,501.757.399,346.305.050,250.835.929,848.062.449,Saturno - Pedaço de Mim - Marília Mendonça - Apê 1001 - Poesia Acústica 12 - Pra Sempre,2.399.684.838,,2.240.813,12.837.593,9.855.246
Borges,Aritsta ,Mainstreet ,74,"6,815,427 ",1.348.052,,,,,1.179.505.115,,,Poesia Acústica 12 - Tenho Que Me Decidir - Loucura - Quase uma Semana - Iphone Branco,1.040.000,253.801.496,589.780.102,175.493.200,843.581.598,Poesia Acústica 12 - Pra Sempre - Iphone Branco - Met Gala! - Mirante - Loucura,2.612.866.815,,3.442.149,10.850.550,10.762.335
Chefin,Aritsta ,Mainstreet ,48,"8,002,277 ",2.873.557,,,,,1.091.372.778,,,212 - Poesia Acústica 13 - 10 Carros - Tropa do Mais Novo - Assault (Carro Forte),,15.040.247,1.149.055.112,257.532.786,1.164.095.359,212 - Deus É o Meu Guia - Tropa do Mais Novo - 10 Carros - Assault (Carro Forte),3.404.523.249,,6.769.572,16.587.942,19.747.739
Oruam,Aritsta ,Mainstreet ,37,"10,022,904 ",3.301.787,,,,,1.260.526.602,,,Sereia - Poesia Acústica 13 - Horas Iguais - Diz Aí Qual é o Plano? - Rolé na Favela de Nave,,0,1.657.165.244,271.855.457,1.657.165.244,Horas Iguais - Papo de Agustinho - Predestinado - Sereia - Assault (Carro Forte),4.574.857.090,,8.461.193,24.476.402,38.034.253
Bielzin,Aritsta ,Mainstreet ,36,"2,253,790 ",465.302,,,,,599.294.312,,,A Cara do Crime (Nós Incomoda) - ESSÊNCIA DE CRIA - A Cara do Crime 3 (Brinde à Liberdade) - A Cara do Crime 2 (Cansou de Playboy) - Assault (Carro Forte),,0,769.045.893,232.024.403,769.045.893,A Cara do Crime (Nós Incomoda) - ESSÊNCIA DE CRIA - A Cara do Crime 2 (Cansou de Playboy) - A Cara do Crime 3 (Brinde à Liberdade) - A Cara do Crime 4 (Acendo a Flor),2.137.386.098,,853.218,,
