Artist,Followers
Mainstreet,800951
Orochi,5918156
Mc Poze do Rodo,6408172
BIN,2804783
Borges,1456645
Chefin,3213723
Oruam,3650404
Bielzin,490375
Dfideliz,852406
PL Quest,204608
Raffé,303024
Azevedo,86038
Leviano,311532
Ajaxx,84543
Kizzy,40914
jess beats,11260
RUXN,15900
MC Cabelinho,8120315
Brutos,3512
A.R,52433920
Vinicin,10534
MANO R7,3248
Amorim,419
Buddy,1342806
Mvk,267078
Pedrin,107226
Mc Filhão,4563
Shenlong,32007
DEGE,989515
Hashi,669
Beny Free,19457
Feek,1564
Oliveira,1127
Pior Versão de Mim,18928
Oreozin,1318
Peziinho,297
Grone,1578
Vt no beat,2720
