Artist,Total Views
Mainstreet,2397196306
Orochi,1965173904
Mc Poze do Rodo,1139414897
BIN,514444281
Borges,273855866
Chefin,15620516
Oruam,0
Bielzin,0
Dfideliz,229267270
PL Quest,5886431
Raffé,561931
Azevedo,44883631
Leviano,69536350
Ajaxx,0
Kizzy,0
jess beats,116377
RUXN,0
MC Cabelinho,1969654909
Brutos,127740
A.R,0
Vinicin,0
MANO R7,1506418
Amorim,0
Buddy,48060373
Mvk,0
Pedrin,3149751
Mc Filhão,93277
Shenlong,0
DEGE,39144
Hashi,0
Beny Free,38639
Feek,15115
Oliveira,0
Pior Versão de Mim,1260679
Oreozin,20163
Peziinho,0
Grone,107784
Vt no beat,25829
