Artist,Total Views
Mainstreet,0
Orochi,1923675849
Mc Poze do Rodo,1297694407
BIN,340008872
Borges,580161201
Chefin,1091613293
Oruam,1585608034
Bielzin,756412769
Dfideliz,549652221
PL Quest,494497111
Raffé,299171599
Azevedo,126672818
Leviano,31051197
Ajaxx,49498250
Kizzy,431519932
jess beats,149412976
RUXN,99557580
MC Cabelinho,2418856622
Brutos,60754279
A.R,60754279
Vinicin,61613061
MANO R7,5858
Amorim,60754279
Buddy,37993323
Mvk,32007834
Pedrin,22638060
Mc Filhão,4101083
Shenlong,97515452
DEGE,229928
Hashi,659364
Beny Free,8283778
Feek,7878681
Oliveira,440978
Pior Versão de Mim,1431328
Oreozin,1216787
Peziinho,46219
Grone,1819799
Vt no beat,93725983
