Artist,Total Views
Mainstreet,842531537
Orochi,620857581
Mc Poze do Rodo,481461137
BIN,247678425
Borges,170501145
Chefin,248607895
Oruam,260985502
Bielzin,229233652
Dfideliz,100174330
PL Quest,21423029
Raffé,35381645
Azevedo,13578413
Leviano,25386521
Ajaxx,11779837
Kizzy,38451309
jess beats,38237932
RUXN,19400234
MC Cabelinho,757179662
Brutos,10396648
A.R,10356200
Vinicin,10507703
MANO R7,249336
Amorim,10377700
Buddy,3869384
Mvk,4717693
Pedrin,5469010
Mc Filhão,1092013
Shenlong,19794870
DEGE,124519
Hashi,223596
Beny Free,1097541
Feek,1004646
Oliveira,326585
Pior Versão de Mim,2057458
Oreozin,672242
Peziinho,16766
Grone,101948
Vt no beat,1547513
