Artist,Top 5 Tracks
Mainstreet,Vida Louca - Sereia - 212 - Saturno - Marília Mendonça
Orochi,Poesia Acústica #6: Era uma Vez - Amor de Fim de Noite - Sereia - Meu Mundo - Poesia Acústica 10: Recomeçar
Mc Poze do Rodo,Vida Louca - A Cara do Crime (Nós Incomoda) - Me Sinto Abençoado - Poesia Acústica 11: Nada Mudou - ESSÊNCIA DE CRIA
BIN,Saturno - Marília Mendonça - Poesia Acústica 12 - Apê 1001 - Quase uma Semana
Borges,Poesia Acústica 12 - Tenho Que Me Decidir - Loucura - Quase uma Semana - Iphone Branco
Chefin,212 - Poesia Acústica 13 - 10 Carros - Tropa do Mais Novo - Assault (Carro Forte)
Oruam,Sereia - Poesia Acústica 13 - Horas Iguais - Diz Aí Qual é o Plano? - Rolé na Favela de Nave
Bielzin,A Cara do Crime (Nós Incomoda) - ESSÊNCIA DE CRIA - A Cara do Crime 3 (Brinde à Liberdade) - A Cara do Crime 2 (Cansou de Playboy) - Assault (Carro Forte)
Dfideliz,Plaqtudum - Revoada do Tubarão - Sessão do Descarrego - Berenice (Papasessions #6) [feat. CALIFFA] - Berenice (Papasessions #6) [feat. CALIFFA]
PL Quest,A Cara do Crime (Nós Incomoda) - Fragrância - Tanto Faz - Rolex - Assault (Angra)
Raffé,INVEJOSO - Mal Sei Falar de Amor - Desde Menorzin - Tropa do Mantém - Carro Bicho 2
Azevedo,De Marola - Assault (Rio) - Vizão de Cria - Assault (Crime Perfeito) - Ego
Leviano,INEFÁVEL (feat. Leviano) - Jordan - Sem Compaixão - Sem Compaixão - Me Sinto Oruam
Ajaxx,Freio da Blazer - Me Sinto Abençoado - Saturno - MINHA CURA - Quase uma Semana
Kizzy,Sereia - Mitsubishi - Loucura - Acende o Isqueiro - Na Onda
jess beats,Vermelho Ferrari - Frio e Calculista - Cicatrizes - To de Pé - Marta 10
RUXN,Loucura - Vida Rasa - Jordan - Pixadão - Droga e Festa
MC Cabelinho,Poesia Acústica #6: Era uma Vez - X1 - Poesia Acústica 13 - FOGO E GASOLINA - NÉ SEGREDO
Brutos,VALHO NADA - Buscando o Melhor - De Lacoste - Eu Só Quero Você - Contando Malote
A.R,VALHO NADA - Buscando o Melhor
Vinicin,VALHO NADA - Malandrex - Eu Até Tentei - Bandida - Te Vi De Legging
MANO R7,Desculpa - Ak te da bom dia - Rio de Janeiro - Na Relíkia - Quanto tempo tem
Amorim,VALHO NADA - Buscando o Melhor
Buddy,Dia de Caça - Assault (Angra) - Fiquei Rico Cedo - Os Novos Donos - Reunião de Negócios
Mvk,O Tempo É Professor - Exibido - Ei Amor - Ei Amor - Drill 23
Pedrin,12 - Pouca Idade - V8 - Proibidão 2022 - Rocket
Mc Filhão,Sem Sentimento - Acelero - Altura Que Nois Tá - Tropa do Poze Tropa do Sábio 10 Minutinhos 2+1 - Mina Perversa
Shenlong,Assault (Rio) - Assault Monopólio - Festa na Mainstreet - Vivência de Trap - Neuroses
DEGE,12 - Proibidão 2022 - Quebra Osso - Reconstruir - Pitaya
Hashi,Acelero - Cristo Redentor - Dá Pra Virar - Confia - Frio na Barriga
Beny Free,Falta Bem Menos do Que Ontem - Deus É Bom - Postura É Lixo - Verão 021 - Sem Spoiler
Feek,Maridão (feat. Borges & Orochi) - Vivência de Trap - XRE - Floripa - Camuflado
Oliveira,Duas Doses - Drill 23 - Acelero - Te Ver Voltando - Fetiche
Pior Versão de Mim,"Gasolina - Proibidão 2022 - Oi Oi, Reflexo de Bolinha - Vulgo Malvadão - Na arte do 157 Remix"
Oreozin,Diamante - Acelero - Baw Baw - Partiu Bailão - Joga Pra Raul
Peziinho,Set do Nemo 1 (Invicto) - Sem Stress - MINHA BITCH - Me Avista
Grone,Ouro e fuzil - Bota a Cara no Beco - Rival - Novo Artigo 157 - Mundo De Ilusões
Vt no beat,Gasolina - Proibidão 2022 - Nós É Só Menorzin - Federal - Quem Diria
