Nome,,Ouvintes Mensais
Mainstreet,,"8,835,915 "
Orochi,,"7,849,729 "
Mc Poze do Rodo,,"7,661,556 "
BIN,,"4,181,408 "
Borges,,"6,815,427 "
Chefin,,"8,002,277 "
Oruam,,"10,022,904 "
Bielzin,,"2,253,790 "
Dfideliz,,"2,536,341 "
PL Quest,,"1,694,839 "
Raffé,,"1,184,705 "
Azevedo,,"1,830,948 "
Leviano,,"2,369,355 "
Ajaxx,,"5,760,475 "
Kizzy,,"4,211,941 "
jess beats,,"1,730,843 "
RUXN,,"3,526,981 "
MC Cabelinho,,"10,965,780 "
Brutos,,"433,613 "
A.R,,"431,174 "
Vinicin,,"442,141 "
MANO R7,,"24,492 "
Amorim,,"431,174 "
Buddy,,"179,719 "
Mvk,,"257,564 "
Pedrin,,"149,613 "
Mc Filhão,,"54,205 "
Shenlong,,"546,218 "
DEGE,,"107,851 "
Hashi,,"31,033 "
Beny Free,,"15,507 "
Feek,,"257,094 "
Oliveira,,"39,430 "
Pior Versão de Mim,,"123,976 "
Oreozin,,"114,439 "
Peziinho,,"54,123 "
Grone,,"53,005 "
Vt no beat,,"175,281 "
