Artist,Total Play Count
Mainstreet,1358124771
Orochi,2580250831
Mc Poze do Rodo,1462151806
BIN,1101941453
Borges,844572420
Chefin,953472097
Oruam,947005918
Bielzin,529485104
Dfideliz,646536452
PL Quest,322608403
Raffé,148348786
Azevedo,141080758
Leviano,187884665
Ajaxx,747465201
Kizzy,547229174
jess beats,181988121
RUXN,127024653
MC Cabelinho,2611248385
Brutos,45340366
A.R,45120234
Vinicin,45820662
MANO R7,1448767
Amorim,45120234
Buddy,84660976
Mvk,26604458
Pedrin,32180834
Mc Filhão,3638164
Shenlong,51832105
DEGE,17325917
Hashi,1926657
Beny Free,4843277
Feek,17740400
Oliveira,5145659
Pior Versão de Mim,16985708
Oreozin,5097164
Peziinho,2932519
Grone,2888703
Vt no beat,13038451
