Artist Name,Top 200 – Brasil,Hits da Internet,Top 50 - Brazil,Viral Rio de Janeiro BR,Viral São Paulo BR,Viral Espírito Santo BR,Viral Belo Horizonte BR,Viral Brasília BR,Viral Salvador BR,Viral Fortaleza BR,Viral Goiânia BR,Viral Vitória BR,Viral Rio Grande do Sul BR,Viral Curitiba BR,Viral Florianópolis BR,Viral Hits,Viral Rio Branco BR,Viral Recife BR,Viral Manaus BR,Viral Teresina BR,Viral Maceió BR,Viral Cuiabá BR,Viral Porto Velho BR,Viral Porto Alegre BR,faz a trend
Mainstreet,"Rolé na Favela de Nave, Mesma História, 10 Carros",Rolé na Favela de Nave,,"Assault Monopólio, Tropa do Flamengo, Essa Daqui Vira Trend",Rolé na Favela de Nave,,,,,,,"Stripper, Tropa do Flamengo",,,,,,,,,,,,,10 Carros
Orochi,Mesma História,,Nois Já Tá Rico,"Assault Monopólio, Vetin",,,,,,,,Stripper,,,,,,,,,,,,,
Mc Poze do Rodo,Diz Aí Qual é o Plano?,,,"Ordem do Mano, Poesia Acústica 15",,,,,,,,,,,,,,,,,,,,,
BIN,,,,"Assault Monopólio, Produto Proibido",,,,,,,,Produto Proibido,,,,,,,,,,,,,
Borges,"Tenho Que Me Decidir, Loucura",Tenho Que Me Decidir,,"Assault Monopólio, Jóias do Bairro, Dia de Operação, Lenda, Vetin",,,,,,,,"Lenda, Jóias do Bairro",,,,,,,,,,,,,Tenho Que Me Decidir
Chefin,"Melhor Vibe, 10 Carros",,,"Tropa do Flamengo, Ordem do Mano, Poesia Acústica 15",,,Melhor Vibe,,,,,Tropa do Flamengo,Poesia Acústica 13,,Melhor Vibe,,,,Melhor Vibe,,,,,,10 Carros
Oruam,"Diz Aí Qual é o Plano?, Rolé na Favela de Nave",Rolé na Favela de Nave,,"Essa Daqui Vira Trend, Morrer De Amor, Poesia Acústica 15, Tudo Que Eu Faço","Set Nino Abravanel, Rolé na Favela de Nave",,,,,,,Morrer De Amor,Poesia Acústica 13,,,,,,,,,,,,
Bielzin,,,,,,,,,,,,,,,,,,,,,,,,,
Dfideliz,CONFISSÕES PT1,,,,CONFISSÕES PT1,,,,,,,,,,,,,,,,,,,,
PL Quest,,,,Assault Monopólio,,,,,,,,,,,,,,,,,,,,,
Raffé,,,,70 Gramas,,,,,,,,,,,,,,,,,,,,,
Azevedo,,,,"Assault Monopólio, De Marola",,,,,,,,,,,,,,,,,,,,,
Leviano,CONFISSÕES PT1,,,"Produto Proibido, Vetin",CONFISSÕES PT1,,,,,,,Produto Proibido,,,,,,,,,,,,,
Ajaxx,,,,,,,,,,,,,,,,,,,,,,,,,
Kizzy,Loucura,,,Assault Monopólio,,,,,,,,,,,,,,,,,,,,,
jess beats,,,,,,,,,,,,,,,,,,,,,,,,,
RUXN,Loucura,,,Assault Monopólio,,,,,,,,,,,,,,,,,,,,,
MC Cabelinho,"Vamo Marolar, Loucura, Carta Aberta",,,"Ponto Final, UMA WAVE, Dia de Operação, Poesia Acústica 15, De Marola, Nosso Momento, depois da meia noite",Vamo Marolar,,Vamo Marolar,Vamo Marolar,,,,"Ponto Final, UMA WAVE, Vamo Marolar, Carta Aberta",Poesia Acústica 13,Vamo Marolar,Vamo Marolar,,Vamo Marolar,,,,,De Menino Virou Little Hair,,Vamo Marolar,
Brutos,,,,Dia de Operação,,,,,,,,,,,,,,,,,,,,,
A.R,,,,Dia de Operação,,,,,,,,,,,,,,,,,,,,,
Vinicin,,,,Dia de Operação,,,,,,,,,,,,,,,,,,,,,
MANO R7,,,,Dia de Operação,,,,,,,,,,,,,,,,,,,,,
Amorim,,,,Dia de Operação,,,,,,,,,,,,,,,,,,,,,
Buddy,,,,,,,,,,,,,,,,,,,,,,,,,
Mvk,,,,,,,,,,,,,,,,,,,,,,,,,
Pedrin,,,,,,,,,,,,,,,,,,,,,,,,,
Mc Filhão,,,,,,,,,,,,,,,,,,,,,,,,,
Shenlong,,,,Assault Monopólio,,,,,,,,,,,,,,,,,,,,,
DEGE,,,,,,,,,,,,,,,,,,,,,,,,,
Hashi,,,,,,,,,,,,,,,,,,,,,,,,,
Beny Free,,,,,,,,,,,,,,,,,,,,,,,,,
Feek,,,,,,,,,,,,,,,,,,,,,,,,,
Oliveira,,,,,,,,,,,,,,,,,,,,,,,,,
Pior Versão de Mim,,,,,,,,,,,,,,,,,,,,,,,,,
Oreozin,,,,,,,,,,,,,,,,,,,,,,,,,
Peziinho,,,,,,,,,,,,,,,,,,,,,,,,,
Grone,,,,,,,,,,,,,,,,,,,,,,,,,
Vt no beat,,,,,,,,,,,,,,,,,,,,,,,,,
