Artist,Top 5 Videos
Mainstreet,"Raffé -  LINDA E NÃO RENDE (prod. Glock, LV e Bymd.wav)
Chefin - TROPA DO FLAMENGO (prod. LB Único)
Assault ""MONOPOLIO"" - Orochi | Shenlong | Azevedo | BIN | PL Quest | Borges (prod. Kizzy, RUXN, TkN)
Oruam ft. Ryan SP - Essa daqui vira trend (prod. DJ Murillo e LT no beat)
Dfideliz - Vida, Eu Penso na Gente Ainda (prod. Neckklace)"
Orochi,"a mina que faz arte com inteligencia artificial
o que aconteceu com o sugar coach
esse pastor cura qualquer vício
pedreiro fazendo speedrun de levantar muro
se rir tem que beber"
Poze,"MC Poze do Rodo ft. Chefin - Ordem do mano (prod. LB Único, Portugal no beat)
MC Poze do Rodo - Me Da Sua Mão (prod. Mandark)
MC Poze do Rodo - Desabafo (Ajaxx, Tkd, Neytxn)
MC Poze do Rodo - Frio e Calculista ft. João Gomes (prod. jess)
MC Poze do Rodo - Ai Calica ft. Vulgo FK"
Bin,"BIN - Produto proibido Ft. Leviano, SICKK (Clipe oficial)
BIN -  SWOOSH FT. Leviano (prod. Sub, jess )
BIN - FUMAÇA QUENTE (prod. Ayo Th, jess)
BIN - Outro Patamar FT. Ryan SP  (prod. jess)
BIN - DIOR ft. Major RD (prod. Ajaxx)"
Borges,"Borges - Lenda ft. Filipe Ret
Borges - Quem Diria
Borges - Copo de Bebida ft. Delacruz
Borges - Proibidão Freestyle ft. NGC Daddy
Borges - Caveirão Imbica"
Chefin,"TROPA DO FLAMENGO - Making OF
Chefin - Tropa do Flamengo ⚔️ 23/04
Making-OF - 10 CARROS
Chefin - Deus é o meu guia
Chefin - Pelo certo (Prod. KENNEDYBEATZ & BUNE)"
Oruam,"kbuloso cantando música do oruam (prévias )
segundo dia de aula
mas uma conquista do menor 22
quando ganho um qualquer
oruam_eu não me iludo"
Bielzin,"De onde veio a água? Kkkkkkkkkk
De onde veio a água? Kkkkkkkk
De onde veio a água? Kkkkkkkkkk
Ele percebeu? Kkkkkkkkkkk
Pegando as compras de desconhecidos kkkkkkkkkkkkkk"
Dfideliz,"Dfideliz - ALMA LIMPA (prod celo)
DFIDELIZ  - LEONINA FEAT CALIFFA (Prod Papatinho)
Dfideliz - PLANOS (CLIP OFICIAL)
Dfideliz - VIDA LONGA (CLIP OFICIAL)
Dfideliz - Menino Bom ( prod celo) [CLIPE OFICIAL}"
PL Quest,"PL Quest ft. Chefin e Orochi - SARRADEIRA
Fatality! Já ouviu essa? 🔥😎 #plquest #predella #leviano #mainstreet
Baby, só não se ilude… 😮‍💨 #plquest #ngcdaddy #adrenalina
Desce mais uma dose de Whisky 🥃 😮‍💨 Já ouviu Privilégio? #mdchefe #trapbr #plquest #adrenalina
Nós contraria as estatísticas! 🔥 #bielzin #borges #plquest #adrenalina"
Raffe,"PUBLICIDADES PERFUMES ENERO 2024 - RAFFE PERFUMERIAS
Publicidad Navidad - Fragancias Raffe Perfumerias
DICIEMBRE PUBLICIDADES PERFUMES
RAFFE PERFUMERIAS - ULTIMOS LANZAMIENTOS NOVIEMBRE
Guillermina Valdez Colección Privada"
Azevedo,"Azevedo - Ilusão feat Orochi, Shenlong (prod. Portugal no beat, Kizzy, Galdino)
Só você...
Paz Terrível 😮‍💨🙏🏽
O fod* é que na sua mão eu me sinto um copo descartável 😮‍💨
Ultimamente eu ando preocupado..."
Leviano,"Leviano, MC Paiva - Roupa Cara
Leviano - Boca
Leviano - Tóxico
Leviano - Dropa
Leviano, Mc Cabelinho - Sem Compaixão"
Ajaxx,"I’d like to kiss you but you are always on the phone
How to escape your mental prison #lifehacks
Love For Rent - AjaxX Chronicles
How would this song sound if Ajaxx recooked it?
AjaxX visits followers in #jail and helps them to escape their mental prison #lifehacks #tips"
Kizzy,"[Full Album] KIZZY (키지) - BAD HABITS Playlist
a guide to KIZZY
KIZZY 키지 - O² (Oxygen) (Color Coded Lyrics Eng/Rus)
KIZZY 키지 - KI$$ (Color Coded Lyrics Eng/Rus)
KIZZY 키지 - # (Hashtag) (Color Coded Lyrics Eng/Rus)"
jess beat,"Sanih Collé Instrumental Remaked 2024 prodby:#jessonthebeats
Rim Ka Avia Instrumental Remaked 2024 by @jessonthebeats1873
Afrobeats Instrumental 2024 ""PROMISE"" Ga Ei Type Beats
Afro pop instrumental 2024 ""LIGHT""
Lion Hill ankakanao Amapiano version 2024"
RUXN,"(Free) Roddy Ricch x Polo G x Nba youngboy Type Beat ~ LUXO (Prod. By RUXN )
(Free) Nav x Gunna x Lil Baby Type Beat ~ CLAVA (By RUXN)
[Free] Lil Keed x Gunna x Lil Gotit Type Beat ~ GADEM (Prod. RUXN/Canestri)
[FREE] TZ da Coronel x Borges Type Beat "" SHISH "" (Prod. RUXN)
Gunna x Lil Keed x Roddy Ricch Type Beat ~ sussu (Prod. RUXN)"
MC Cabelinho,"MC Cabelinho - Carta Aberta (Clipe Oficial)
MC CABELINHO - MINHA CURA FT. BELO  (prod. MOUSIK)
MC CABELINHO - PRETA RARA (prod. PALMA & DJ DAVI)
MC CABELINHO - BEM MELHOR FT. ORUAM  (prod. PALMA)
MC CABELINHO - VOCÊ&EU (prod. DALLASS)"
Brutos,"🟥BAD VS SMILE🟦
Flumbo (Banban Azul) Vs Banban - Garten of Banban 8
LUCCAS NETO VS GATO GALÁCTICO - BATALHA DE YOUTUBERS NO ROBLOX
Princesa Loolilalu (Digital Circus 2) Vs Princesa Vanellope (Detona Ralph)
As Melhores Batalhas do Incrível Circo Digital (The Amazing Digital Circus) - Brutusmano (Compilado)"
A.R,"Huawei Smart Watch Fit 3: RELÓGIO com MELHOR CUSTO BENEFÍCIO para corredores?
MIZUNO NEO VISTA - Primeiras impressões
SE inscreva na CORRIDA VIRTUAL CORRI PELO RS e ajude nossos amigos e amigas gaúchos
O QUE ROLOU na MARATONA do RIO?
Como foi a minha Meia da Maratona do Rio em um minuto #meiamaratona #maratonadorio"
Vinicin,"VINICIN REAGE: DEFANTE, TIÃO E GUSTAVO TUBARÃO NO RANGO BRABO | Cortes do Lil Vinicinho
VINICIN REAGE: POLÊMICA DO CESAR MAIA EM SESSÃO DA CÂMARA | Cortes do Lil Vinicinho
LIL VINICIN E PASTOR BATALHAM NO POKÉMON SHOWDOWN | Cortes do Lil Vinicinho
VINICIN REAGE: HÓSPEDE INCONVENIENTE NO REPÓRTER PACHECO | Cortes do Lil Vinicinho
VINICIN REAGE: TRABALHAMOS NO OUTBACK POR UM DIA! (AQUELES CARAS) | Cortes do Lil Vinicinho"
Mano R7,"Mano R7 - RIO DE JANEIRO (Videoclipe Oficial)
Venha conferir novo lançamento!
11 Mano R7- Eu Não
10 Mano R7- Papo Reto
09 Mano R7- Swoosh (Feat Didior x Bomcof)"
Amorim,"Pescadores Infinitos no Big Bass Splash ‹ Dia de Alegria ›
Arrisquei Tudo ou Nada no Forge of Olympus ‹ Dia muito Insano ›
Big Bass Bonanza da Felicidade ‹ Pescadores Infinitos ›
Big Bass Splash da Alegria
Bônus de R$600 vs Sugar Rush • O melhor dia que já joguei •"
Budy,"(الفرق مابين التقليد والاستلهام) ، قاشا لايف/ قاشا كلوب
نروج للفيديو #قاشا_نحو_المستقبل
قصص المُتابعين (2)قاشا لايف /قاشا كلوب
6 pills,unfinished GCMV(قاشا لايف/قاشا كلوب)
مبروك! @NesmaCHOUHAD #قاشا_نحو_المستقبل #gachalife"
MVK,"Expectativa
Fiquei Sagaz
Ei Amor (Remix)
Ei Amor
Blogueira"
Pedrin,"O CORNO FICOU PISTOLA É FEZ MERDA *Crime Scene Cleaner*
O MOÇO DA PIPOCA 😂 #shorts
QUANDO O TERAPEUTA E SINCERO DEMAIS 😂 #shorts
QUANDO A IRMÃ FICAR DE CASTIGO 😂 #shorts
BOLHA DE SABÃO INDESTRUTÍVEL 😨 #shorts"
Filhão,"CANADA BUSCANDO PROFISSIONAIS DE T.I
O PLANO PRÁTICO PARA CONQUISTAR UM EMPREGO NO CANADÁ
NINGUÉM QUERIA MORAR NESSA PROVÍNCIA E REGIÃO DO CANADÁ
O FUTURO DAS PROFISSÕES: CARREIRAS EM ALTA NA AREA DE TECNOLOGIA E SAUDE
OPORTUNIDADE DE EMPREGO NO CANADA PARA PROFISSIONAIS QUALIFICADO"
Shenlong,"SHENLONG vs CAM QUÝT | 06/06/2024
SHENLONG vs CAM QUÝT | ngày 24 tháng 5 năm 2024
SHENLONG - MÃ GIA vs HỒNG ANH - KAMACHI | 20 tháng 5 năm 2024
SHENLONG vs THIÊN KHÔI_QUÝT | 11 tháng 5 năm 2024
Trực Tiếp AOE 11/05/2024 | SHENLONG vs TIỂU LÂM (SHANG - CHẠM 4)"
DEGE,"DEGE - HEINEKEN ft. PJ HOUDINI (prod. Brian Arimura)
DEGE - O QUE IMPORTA É FÉ  (Prod. FP & H4lfmeasures)
DEGE - PEQUENOS VALORES
DEGE - FUTURO PROIBIDO (Prod. Melt77)
DEGE - CARRO BICHO (Prod. VT no Beat)"
Hashi,"PRECISAMOS CONVERSAR URGENTEMENTE!
O mangá mais CHOCANTE que já li! #manga #horror #anime
O MANGÁ que ASSUSTOU o próprio AUTOR! #mangá #manga #terror
O esforço vence o dom natural.
Sobre o que é Mob Psycho?"
Benny,"Sule & Black Soprano Family - Y.N.G.A.W Feat. Sy Ari Da Kid [Official Video]
Cam Wells & Benny The Butcher - Tony Two Tone [Official Video]
Flames Dot Malik & Black Soprano Family - FOOD Ft. Jim Jones [Official Video]
Duckman & Black Soprano Family ft ElCamino - Ghetto Gospel [Official Video]
Sneak Peek:  Making of the Pyrex Man pendant made by Impress LA"
Feek,"FEEK - PAPARAZZI  (VIDEO CLIPE OFICIAL)
FEEK - TREM BALA (VIDEO CLIPE OFICIAL)"
Oliveira,"TRANSFORMEI O JORGINHO EM MANDRAKE E DEU RUIM
ERA PARA SER UM FUTEBOL, MAS O PIOR ACONTECEU…
FUI EXPULSO DA CASA DA VITÓRIA... ACABOU...
ELE FOI HUMILHADO POR NÃO SABER DAR GRAU
DESUMILDE !"
Pior versão de mim,"Pior Versão de Mim - Nem Ouço (VideoClipe)
Pior Versão de Mim - ""Meia Noite"" ft. Putodiparis e Cezza (prod. Palma)
Mc D  - ""Na arte do 157 Remix"" ft. Derxan (prod. VTnoBeat)
Pior Versão de Mim - ""Oi Oi, Reflexo de Bolinha"" ft. Putodiparis e Big Bllakk (prod. VTnoBeat)
Pior Versão de Mim - Discurso de Ódio (prod. Sahara) (Dir. @atanaziofb)"
Oreozin,"OREOZIN - MAINSTREET FESTIVAL FREESTYLE ft. PL QUEST (prod. VT no Beat)
Oreozin - Cartão clonado trap 💳"
Peziinho,"none
none
none
none
none"
Grone,"HOMELANDER EN MK1 HACE CHOCOLATE CASERO
Probé TODOS LOS TEKKEN en UN SOLO VIDEO
MEMES GOOFY AHH
Probé TODOS LOS MORTAL KOMBAT en un SOLO VIDEO
ESTE VIDEO ES TAN TERCERMUNDISTAS QUE DUELE"
VT no Beat,"Ela é Safada
Hoje Eu Não Vou Te Machucar
Vem Xereca Vs Tira Roupa
Rave da Putaria
Desce Falsiane"
