Mainstreet,A Cara do Crime (Nós Incomoda) - 212 - Saturno - Vida Louca - Deus É o Meu Guia
Orochi,Poesia Acústica #6: Era uma Vez - Mitsubishi - Amor de Fim de Noite - Acende o Isqueiro - Celebridade
Mc Poze do Rodo,A Cara do Crime (Nós Incomoda) - Vida Louca - Me Sinto Abençoado - Poesia Acústica 11: Nada Mudou - ESSÊNCIA DE CRIA
BIN,Saturno - Pedaço de Mim - Marília Mendonça - Apê 1001 - Poesia Acústica 12 - Pra Sempre
Borges,Poesia Acústica 12 - Pra Sempre - Iphone Branco - Met Gala! - Mirante - Loucura
Chefin,212 - Deus É o Meu Guia - Tropa do Mais Novo - 10 Carros - Assault (Carro Forte)
Oruam,Horas Iguais - Papo de Agustinho - Predestinado - Sereia - Assault (Carro Forte)
Bielzin,A Cara do Crime (Nós Incomoda) - ESSÊNCIA DE CRIA - A Cara do Crime 2 (Cansou de Playboy) - A Cara do Crime 3 (Brinde à Liberdade) - A Cara do Crime 4 (Acendo a Flor)
Dfideliz,"Revoada do Tubarão - Berenice (Papasessions #6) (feat. CALIFFA) - Preto e Dinheiro - Sessão do Descarrego - Obrigado, mãe Pt2"
PL Quest,Rolex - Champagne - Assault (Angra) - Jogos e Apostas - Ta em Cima da Hora
Raffé,Mal Sei Falar de Amor - INVEJOSO - Tropa do Mantém - Desde Menorzin - Carro Bicho 2
Azevedo,De Marola - Goles Perdidos - XRE - Ela Tem - O Que Que Tem?
Leviano,Sem Compaixão - Jordan - Matéria - Papo Reto - Vetin
Ajaxx,Não Vou Falhar - Outro Lugar - Sodoma e Gomorra - Chumbada - Diferenciado
Kizzy,Sereia - Loucura - Balão 2 - Cicatrizes - Amém
jess beats,Vermelho Ferrari - Assault - Frio e Calculista - Feiticeira - Até de Manhã
RUXN,Loucura - Distante de Tudo - Vida Rasa - Jogos e Apostas - Jogador
MC Cabelinho,A Cara do Crime (Nós Incomoda) - Poesia Acústica #6: Era uma Vez - X1 - MINHA CURA - ESSÊNCIA DE CRIA
Brutos,VALHO NADA - Buscando o Melhor - De Lacoste - Ppg e Cruzada - Contando Malote
A.R,VALHO NADA
Vinicin,VALHO NADA - Malandrex - Eu Até Tentei - Te Vi De Legging
MANO R7,Desculpa - Verdades - OLHAR - Rio de Janeiro - Papo Reto
Amorim,VALHO NADA - Buscando o Melhor
Buddy,Assault (Angra) - Reunião de Negócios II - Reunião de Negócios - Viagem - Fala pra Mim
Mvk,Exibido - Ei Amor - Ei Amor (Remix) - Drill 23 - Cidade Profana - Blogueira
Pedrin,Pouca Idade - 12 - 15771 - Rocket - Liberdade
Mc Filhão,"Sem Sentimento - Altura Que Nois Tá - Na Pista - Que Beat É Esse, Beat Diferente - Ui Piranha Agacha e Mama"
Shenlong,Assault (Rio) - Assault - Festa na Mainstreet - Neuroses - Vivência de Trap
DEGE,Fases - Joga Pra Raul - Pequenos Valores - Eu Odeio Flash - Joga Essa Nota
Hashi,Dá Pra Virar - Acelero - Poder Bélico (Paz no CPX) - Cristo Redentor - Traçantes De Parafal
Beny Free,Falta Bem Menos do Que Ontem - Deus É Bom - Postura É Lixo - Meu Dinheiro - Verão 021
Feek,Maridão - Quebra Osso - Acelero - Poder Bélico (Paz no CPX) - Joga Pra Raul
Oliveira,Duas Doses - Acelero - Poder Bélico (Paz no CPX) - Boca - Traçantes De Parafal
Pior Versão de Mim,"Oi Oi, Reflexo de Bolinha - Gasolina - Meia Noite - Pitaya - Vulgo Malvadão"
Oreozin,Diamante - Produto - Acelero - Poder Bélico (Paz no CPX) - Partiu Bailão
Peziinho,MINHA BITCH - AR 15 - Sem Stress - Me Avista
Grone,Ouro e fuzil - Rival - Boca - Ak 47 - Velório
Vt no beat,Gasolina - Nós É Só Menorzin - Linha Amarela - Federal - Quem Diria
