Artist,Subscriber Count
Mainstreet,4070000
Orochi,3740000
Poze,4190000
Bin,1860000
Borges,1040000
Chefin,
Oruam,
Bielzin,
Dfideliz,1030000
PL Quest,121000000
Raffe,
Azevedo,16200000
Leviano,36100000
Ajaxx,
Kizzy,
jess beat,74800000
RUXN,60300000
MC Cabelinho,3620000
Brutos,
A.R,
Vinicin,60300000
Mano R7,1600
Amorim,
Budy,299000
MVK,268000
Pedrin,49700
Filhão,
Shenlong,
DEGE,1220
Hashi,
Benny,9860
Feek,865
Oliveira,
Pior versão de mim,2250
Oreozin,97
Peziinho,
Grone,6
VT no Beat,591
