Artist,Total Views
Mainstreet,0
Orochi,1916118344
Mc Poze do Rodo,1282595736
BIN,337691481
Borges,576291810
Chefin,1067996040
Oruam,1554212369
Bielzin,751777330
Dfideliz,548474493
PL Quest,491490510
Raffé,297171925
Azevedo,126197227
Leviano,30829756
Ajaxx,49199602
Kizzy,424528110
jess beats,148205287
RUXN,95018031
MC Cabelinho,2392904053
Brutos,60076242
A.R,60076242
Vinicin,60921627
MANO R7,5816
Amorim,60076242
Buddy,37943266
Mvk,31804974
Pedrin,22513581
Mc Filhão,4073417
Shenlong,96920349
DEGE,228331
Hashi,646097
Beny Free,8272964
Feek,7818805
Oliveira,436316
Pior Versão de Mim,1426520
Oreozin,1202352
Peziinho,45348
Grone,1808228
Vt no beat,93129496
